restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
Kitchen24,Takeaway,2.8,40,300.0,Yes,No,"Italian, Continental, Chinese, Thai, American, Arabian",Bannerghatta Road,Btm,Poor
Kitchens Of Chettinad,Quick Bites,2.8,40,250.0,Yes,No,South Indian,Brookefield,Whitefield,Poor
Kitchen's Sea Food Restaurant,"Takeaway, Delivery",3.4,9,800.0,No,No,"Seafood, North Indian, Chinese",Koramangala 4Th Block,Koramangala 8Th Block,Average
Kitchens@BTM,"Takeaway, Delivery",3.9,224,400.0,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra","Byresandra,Tavarekere,Madiwala",Btm,Good
Kitchens@Electronic City,"Takeaway, Delivery",2.8,40,600.0,Yes,No,"Italian, Chinese, Continental, North Indian",Electronic City,Electronic City,Poor
Kitchens@HSR,"Takeaway, Delivery",3.1,247,200.0,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Hsr,Hsr,Average
Kitchens@JP Nagar,"Takeaway, Delivery",3.9,488,400.0,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Bannerghatta Road,Jp Nagar,Good
Kitchens@Mahadevpura,Delivery,3.9,125,600.0,Yes,No,"Italian, North Indian, South Indian, Chinese",Whitefield,Whitefield,Good
Kitchens@Whitefield,"Takeaway, Delivery",3.4,215,400.0,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Brookefield,"Varthur Main Road, Whitefield",Average
Kittu's,Casual Dining,4.2,800,750.0,Yes,Yes,North Indian,Electronic City,Electronic City,Very nice
KittyKo,"Bar, Lounge",4.1,179,3000.0,No,No,"Finger Food, Continental",Malleshwaram,Seshadripuram,Very nice
Kitty's Cafe,Quick Bites,3.6,43,300.0,Yes,No,Fast Food,Malleshwaram,New Bel Road,Good
KKR FOODIES,Casual Dining,3.7,37,400.0,Yes,No,"Biryani, Chinese, Fast Food, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Good
KL-58 Thalassery Cafe,Quick Bites,3.5,14,200.0,No,No,Kerala,New Bel Road,New Bel Road,Good
KLINX - Hilton Bangalore Embassy GolfLinks,Bar,4.2,209,2000.0,No,Yes,"European, Asian",Koramangala 4Th Block,Domlur,Very nice
Kloudish Kitchen,Delivery,3.5,15,250.0,Yes,No,"North Indian, South Indian",Kalyan Nagar,Hennur,Good
Knight Riders,Bar,2.4,25,1000.0,No,No,"Chinese, European",Indiranagar,Domlur,Poor
Knight Ryders,Delivery,3.4,239,400.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average
